CASE_NUMBER,DATE,BLOCK,COMMUNITY_AREA,AGE,SEX,RACE,INCIDENT_IUCR_SECONDARY,MONTH,DAY_OF_WEEK,HOUR,LOCATION_DESCRIPTION,LATITUDE,LONGITUDE,LOCATION
JF528755,12/31/2022 01:41:00 PM,100 E 103RD ST,ROSELAND,50-59,M,BLK,AGGRAVATED - HANDGUN,12,7,13,STREET,41.7067205,-87.62006,POINT (-87.62006 41.7067205)
JF528648,12/31/2022 11:59:00 AM,12600 S STEWART AVE,WEST PULLMAN,30-39,F,BLK,AGGRAVATED - HANDGUN,12,7,11,STREET,41.66520835,-87.63241535,POINT (-87.63241534612 41.665208345858)
JF528332,12/31/2022 05:15:00 AM,900 N LAWLER AVE,AUSTIN,40-49,M,BLK,AGGRAVATED - HANDGUN,12,7,5,STREET,41.89856835,-87.75172465,POINT (-87.75172465388 41.898568345858)
JF528332,12/31/2022 05:15:00 AM,900 N LAWLER AVE,AUSTIN,40-49,M,BLK,AGGRAVATED - HANDGUN,12,7,5,STREET,41.89856835,-87.75172465,POINT (-87.75172465388 41.898568345858)
JF528331,12/31/2022 05:13:00 AM,2700 W TOUHY AVE,WEST RIDGE,20-29,M,API,ARMED - HANDGUN,12,7,5,CONVENIENCE STORE,42.0124731,-87.69867094,POINT (-87.698670941301 42.012473095858)
JF528251,12/31/2022 02:00:00 AM,1500 N MILWAUKEE AVE,WEST TOWN,30-39,M,WWH,,12,7,2,ALLEY,41.9096031,-87.67544094,POINT (-87.675440941301 41.909603095858)
JF528251,12/31/2022 02:00:00 AM,1500 N MILWAUKEE AVE,WEST TOWN,20-29,M,WWH,,12,7,2,ALLEY,41.9096031,-87.67544094,POINT (-87.675440941301 41.909603095858)
JF528251,12/31/2022 02:00:00 AM,1500 N MILWAUKEE AVE,WEST TOWN,20-29,M,WWH,,12,7,2,ALLEY,41.9096031,-87.67544094,POINT (-87.675440941301 41.909603095858)
JF528162,12/30/2022 11:26:00 PM,200 N KILPATRICK AVE,AUSTIN,20-29,M,BLK,AGGRAVATED - HANDGUN,12,6,23,STREET,41.88441835,-87.74237465,POINT (-87.74237465388 41.884418345858)
JF528120,12/30/2022 10:20:00 PM,8600 S CONSTANCE AVE,AVALON PARK,20-29,M,BLK,FIRST DEGREE MURDER,12,6,22,HOUSE,41.73881967,-87.57909855,POINT (-87.579098547471 41.738819668947)
JF528120,12/30/2022 10:20:00 PM,8600 S CONSTANCE AVE,AVALON PARK,30-39,M,BLK,FIRST DEGREE MURDER,12,6,22,HOUSE,41.73881967,-87.57909855,POINT (-87.579098547471 41.738819668947)
JF527840,12/30/2022 03:45:00 PM,3900 W 46TH ST,ARCHER HEIGHTS,20-29,M,WWH,AGGRAVATED - HANDGUN,12,6,15,STREET,41.81037248,-87.72276842,POINT (-87.722768423471 41.810372475947)
JG105499,12/30/2022 02:30:00 PM,1500 E 64TH ST,WOODLAWN,40-49,M,WHI,AGGRAVATED - HANDGUN,12,6,14,STREET,41.77931038,-87.58764822,POINT (-87.587648223699 41.779310380858)
JF527466,12/30/2022 11:58:00 AM,8700 S BURLEY AVE,SOUTH CHICAGO,20-29,M,BLK,AGGRAVATED - HANDGUN,12,6,11,APARTMENT,41.7352769,-87.54592906,POINT (-87.545929058699 41.735276904142)
JF527117,12/30/2022 03:19:00 AM,1900 E 72ND ST,SOUTH SHORE,50-59,F,BLK,AGGRAVATED - HANDGUN,12,6,3,STREET,41.76424165,-87.57806535,POINT (-87.57806534612 41.764241654142)
JF527071,12/30/2022 01:20:00 AM,800 W 78TH ST,AUBURN GRESHAM,50-59,M,BLK,AGGRAVATED - HANDGUN,12,6,1,APARTMENT,41.7528131,-87.64582094,POINT (-87.645820941301 41.752813095858)
JF527052,12/30/2022 12:57:00 AM,9100 S ASHLAND AVE,WASHINGTON HEIGHTS,40-49,M,BLK,AGGRAVATED - HANDGUN,12,6,0,STREET,41.72733835,-87.66223465,POINT (-87.66223465388 41.727338345858)
JF526888,12/29/2022 08:30:00 PM,7200 S SOUTH SHORE DR,SOUTH SHORE,60-69,M,BLK,AGGRAVATED - OTHER FIREARM,12,5,20,PARKING LOT / GARAGE (NON RESIDENTIAL),41.76430835,-87.56128535,POINT (-87.56128534612 41.764308345858)
JF526799,12/29/2022 07:34:00 PM,2000 E 75TH ST,SOUTH SHORE,30-39,M,BLK,FIRST DEGREE MURDER,12,5,19,BASEMENT,41.7595031,-87.57452906,POINT (-87.574529058699 41.759503095858)
JF526714,12/29/2022 05:38:00 PM,2900 W WARREN BLVD,EAST GARFIELD PARK,20-29,M,BLK,AGGRAVATED - HANDGUN,12,5,17,ALLEY,41.8813469,-87.70032094,POINT (-87.700320941301 41.881346904142)
JF526668,12/29/2022 05:02:00 PM,0 E 100TH ST,ROSELAND,20-29,M,BLK,AGGRAVATED - HANDGUN,12,5,17,STREET,41.71272835,-87.62234535,POINT (-87.62234534612 41.712728345858)
JF526668,12/29/2022 05:02:00 PM,0 E 100TH ST,ROSELAND,20-29,M,BLK,AGGRAVATED - HANDGUN,12,5,17,STREET,41.71272835,-87.62234535,POINT (-87.62234534612 41.712728345858)
JF526631,12/29/2022 04:41:00 PM,7200 S GREEN ST,ENGLEWOOD,0-19,M,BLK,AGGRAVATED - HANDGUN,12,5,16,SIDEWALK,41.7636231,-87.64515094,POINT (-87.645150941301 41.763623095858)
JF526505,12/29/2022 03:16:00 PM,6000 S PRAIRIE AVE,WASHINGTON PARK,0-19,M,BLK,AGGRAVATED - HANDGUN,12,5,15,STREET,41.7840505,-87.61882,POINT (-87.61882 41.7840505)
JF526421,12/29/2022 02:16:00 PM,1400 W 111TH ST,MORGAN PARK,20-29,M,BLK,AGGRAVATED - HANDGUN,12,5,14,SIDEWALK,41.6927631,-87.65817094,POINT (-87.658170941301 41.692763095858)
JF526430,12/29/2022 01:38:00 PM,8700 S STATE ST,CHATHAM,20-29,M,BLK,AGGRAVATED - HANDGUN,12,5,13,GAS STATION,41.73670967,-87.62386855,POINT (-87.623868547471 41.736709668947)
JF525996,12/29/2022 08:20:00 AM,11400 S EGGLESTON AVE,ROSELAND,40-49,M,BLK,ARMED - HANDGUN,12,5,8,ALLEY,41.6855269,-87.63412906,POINT (-87.634129058699 41.685526904142)
JF525868,12/29/2022 02:15:00 AM,0 E 71ST ST,GREATER GRAND CROSSING,0-19,M,BLK,AGGRAVATED - HANDGUN,12,5,2,STREET,41.76575835,-87.62518535,POINT (-87.62518534612 41.765758345858)
JF525868,12/29/2022 02:15:00 AM,0 E 71ST ST,GREATER GRAND CROSSING,0-19,M,BLK,AGGRAVATED - HANDGUN,12,5,2,STREET,41.76575835,-87.62518535,POINT (-87.62518534612 41.765758345858)
JF525801,12/28/2022 10:55:00 PM,100 S KILPATRICK AVE,AUSTIN,20-29,M,BLK,AGGRAVATED - HANDGUN,12,4,22,STREET,41.8791631,-87.74235094,POINT (-87.742350941301 41.879163095858)
