Docket Number,Violation Number,Issued Date,Issuing Department,Last Hearing Date,Property Address,Violation Type,Entity or Person(s),Disposition Description,Total Fines,Total Administrative Costs,Interest Amount,Collection Costs or Attorney Fees,Court Cost,Original Total Amount Due,Total Paid,Current Amount Due,Latitude,Longitude,Location
19CP006238,P005750417|P005750418|P005750419|P005750420|P005750421|P005750422,01/11/2019,POLICE,03/01/2019 09:00:00 AM,6058 S MOZART ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"JP MORGAN CHASE, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.782830799327606,-87.6948629119718,POINT (-87.6948629119718 41.782830799327606)
19CP007792,P005911296|P005911296|P005911297|P005911297|P005911298|P005911298|P005911341|P005911341|P005911342|P005911342|P005911343|P005911343,01/11/2019,POLICE,04/05/2019 11:00:00 AM,1651 E 78TH ST ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"US BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.75322141893223,-87.58355743968316,POINT (-87.58355743968316 41.75322141893223)
19CP006244,P005690543|P005690544|P005690545|P005750321|P005750423|P005750424,01/11/2019,POLICE,03/01/2019 09:00:00 AM,6427 S CAMPBELL ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"JP MORGAN CHASE BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.77657983084527,-87.68586476472457,POINT (-87.68586476472457 41.77657983084527)
19CP007792,P005911296|P005911297|P005911298|P005911341|P005911342|P005911343,01/11/2019,POLICE,04/05/2019 11:00:00 AM,1651 E 78TH ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"US BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.75322141893223,-87.58355743968316,POINT (-87.58355743968316 41.75322141893223)
19CP006234,P005787798|P005787799|P005787800|P005787801|P005787802|P005787803,01/11/2019,POLICE,03/01/2019 09:00:00 AM,5940 S CAMPBELL ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"MIDFIRST BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.78529921708261,-87.68639380122754,POINT (-87.68639380122754 41.78529921708261)
19CP006239,P005749769|P005749770|P005749771|P005749772|P005749773|P005749774,01/11/2019,POLICE,03/01/2019 09:00:00 AM,6230 S CAMPBELL ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"CITI MORTGAGE INC, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.7801062114115,-87.6862588167713,POINT (-87.6862588167713 41.7801062114115)
19CP007793,P005911299|P005911300|P005911301|P005911344|P005911345|P005911346,01/12/2019,POLICE,03/01/2019 11:00:00 AM,9930 S OGLESBY ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"US BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.71436198994206,-87.56595402775406,POINT (-87.56595402775406 41.71436198994206)
19CP007814,P005469187|P005469188,01/14/2019,POLICE,03/01/2019 01:00:00 PM,411 N HAMLIN ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"US BANK TRUST, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.888411626335184,-87.72084649253654,POINT (-87.72084649253654 41.888411626335184)
19CP007813,P005469233|P005469234,01/14/2019,POLICE,03/01/2019 01:00:00 PM,4733 W GLADYS ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"WELLS FARGO BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.87582947326959,-87.74399632671353,POINT (-87.74399632671353 41.87582947326959)
19CP006009,P005288799|P005288801|P005288803|P005288804,01/17/2019,POLICE,03/01/2019 09:00:00 AM,3418 W 38TH PL ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"TCF NATL BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.82352476953061,-87.71013668929885,POINT (-87.71013668929885 41.82352476953061)
19CP006209,P005288781|P005288782|P005288783|P005288784|P005288785|P005288786,01/17/2019,POLICE,03/01/2019 09:00:00 AM,2418 W 36TH ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"US BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.82854865878649,-87.68583210005728,POINT (-87.68583210005728 41.82854865878649)
19CP006235,P005787810|P005787811|P005787812|P005787813|P005787814|P005787815,01/18/2019,POLICE,03/01/2019 09:00:00 AM,6119 S FAIRFIELD ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"US BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.78218114243464,-87.6921136262253,POINT (-87.6921136262253 41.78218114243464)
